path,ext,loc,commits,churn,decisions,issues,issue_detail,owner,owner_pct,authors,origin,risk
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/dto/LeadDtos.java,java,347,9,358,0,0,,Chaitanya2872,100,1,authored,3.4
backend/services/notifications-service/src/main/java/com/hirepath/notifications/controller/NotificationController.java,java,208,1,207,18,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.4
backend/services/procurement-service/src/main/java/com/fawnix/procurement/mapper/ProcurementMapper.java,java,332,4,345,2,0,,Chaitanya2872,100,1,authored,3.4
src/modules/recruitment/AnalyticsPage.tsx,tsx,153,2,590,10,1,any=1,Ravi-Shankar-ACS,100,1,authored,3.4
backend/services/crm-service/src/main/java/com/fawnix/crm/deals/service/DealService.java,java,190,1,189,20,0,,Chaitanya2872,100,1,authored,3.3
backend/services/crm-service/src/main/java/com/fawnix/crm/storage/service/ObjectStorageService.java,java,131,1,130,11,2,broad_catch=2,Chaitanya2872,100,1,authored,3.3
backend/services/notifications-service/src/main/java/com/hirepath/notifications/service/TemplateResolver.java,java,88,1,87,16,2,broad_catch=2,Ravi-Shankar-ACS,100,1,copied:hirepath,3.3
backend/services/project-service/src/main/java/com/fawnix/project/meetings/domain/ProjectMeetingEntity.java,java,320,1,319,2,0,,Vaishnavi Nerella,100,1,authored,3.3
backend/services/project-service/src/main/java/com/fawnix/project/projects/service/ProjectService.java,java,204,3,235,17,0,,Chaitanya2872,100,1,authored,3.3
backend/services/sales-service/src/main/java/com/fawnix/sales/deliveries/service/SalesDeliveryService.java,java,193,2,194,19,0,,Chaitanya2872,100,1,authored,3.3
src/modules/project-management/utils.ts,ts,196,5,211,19,0,,Praveen,78,3,authored,3.3
src/modules/recruitment/ApplicationFormsPage.tsx,tsx,263,2,264,10,0,,Ravi-Shankar-ACS,100,1,authored,3.3
backend/services/crm-service/src/main/java/com/fawnix/crm/contact/service/LeadContactRecordingService.java,java,144,1,143,16,1,broad_catch=1,Chaitanya2872,100,1,authored,3.2
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/validator/LeadRequestValidator.java,java,65,1,64,9,3,broad_catch=3,Chaitanya2872,100,1,authored,3.2
backend/services/identity-service/src/main/java/com/fawnix/identity/auth/service/FawnixOtpAuthService.java,java,159,8,294,20,0,,Chaitanya2872,100,1,authored,3.2
backend/services/recruitment-service/src/main/resources/db/migration/V3__ats_intake_pipeline.sql,sql,115,1,114,28,0,,Ravi-Shankar-ACS,100,1,authored,3.2
backend/services/sales-service/src/main/java/com/fawnix/sales/quotes/entity/QuoteEntity.java,java,329,1,328,0,0,,Chaitanya2872,100,1,authored,3.2
backend/src/main/java/com/fawnix/verse/leads/validator/LeadRequestValidator.java,java,65,1,64,9,3,broad_catch=3,Chaitanya2872,100,1,dead:legacy-monolith,3.2
src/modules/project-management/types.ts,ts,325,5,324,0,0,,Praveen,94,3,authored,3.2
src/modules/recruitment/TalentPoolPage.tsx,tsx,249,1,249,10,0,,Ravi-Shankar-ACS,100,1,authored,3.2
src/modules/users/api.ts,ts,196,6,199,18,0,,Chaitanya2872,100,1,authored,3.2
backend/src/main/java/com/fawnix/verse/common/config/DataSeeder.java,java,238,2,237,11,0,,Chaitanya2872,100,1,dead:legacy-monolith,3.1
src/modules/crm/leads/hooks.ts,ts,284,6,305,4,0,,Chaitanya2872,100,1,authored,3.1
backend/services/sales-service/src/main/java/com/fawnix/sales/invoices/service/SalesInvoiceService.java,java,179,2,180,17,0,,Chaitanya2872,100,1,authored,3.0
src/modules/sales/orders/shipments-page.tsx,tsx,191,1,190,7,1,use_client=1,Chaitanya2872,100,1,authored,3.0
backend/services/identity-service/src/main/java/com/fawnix/identity/auth/service/PermissionService.java,java,181,1,180,16,0,,Chaitanya2872,100,1,authored,2.9
src/modules/visitor management/hooks/useVisitors.ts,ts,142,1,141,21,0,,Vaishnavi Nerella,100,1,copied:vms,2.9
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/approval-service/src/main/java/com/hirepath/approval/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/forms-service/src/main/java/com/hirepath/forms/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/integration-service/src/main/java/com/hirepath/integration/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/inventory-service/src/main/java/com/fawnix/inventory/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Chaitanya2872,100,1,authored,2.8
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/org-service/src/main/java/com/hirepath/org/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/procurement-service/src/main/java/com/fawnix/procurement/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Chaitanya2872,100,1,authored,2.8
backend/services/project-service/src/main/java/com/fawnix/project/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Chaitanya2872,100,1,authored,2.8
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Ravi-Shankar-ACS,100,1,copied:hirepath,2.8
backend/services/sales-service/src/main/java/com/fawnix/sales/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Chaitanya2872,100,1,authored,2.8
backend/services/task-service/src/main/java/com/hirepath/task/security/jwt/JwtService.java,java,74,1,73,3,3,broad_catch=1;suppress=2,Chaitanya2872,100,1,copied:hirepath,2.8
src/components/ui/dropdown-menu.tsx,tsx,202,1,201,3,1,use_client=1,Chaitanya2872,100,1,generated:shadcn,2.8
src/modules/forms/FormLinksPage.tsx,tsx,187,2,190,5,1,any=1,Ravi-Shankar-ACS,100,1,authored,2.8
src/modules/purchases/p2p/reports/page.tsx,tsx,175,3,416,11,0,,Chaitanya2872,100,1,authored,2.8
src/modules/sales/orders/hooks.ts,ts,285,5,294,0,0,,Chaitanya2872,100,1,authored,2.8
src/modules/sales/orders/payments-page.tsx,tsx,178,2,183,6,1,use_client=1,Chaitanya2872,100,1,authored,2.8
src/modules/users/hooks.ts,ts,238,6,241,6,0,,Chaitanya2872,100,1,authored,2.8
src/modules/visitor management/pages/Dashboard/Dashboard.tsx,tsx,221,2,638,2,0,,Vaishnavi Nerella,100,1,copied:vms,2.8
src/modules/visitor management/services/authService.ts,ts,96,3,107,16,1,console=1,Vaishnavi Nerella,100,1,copied:vms,2.8
