path,loc,dup_lines,dup_pct,owner
backend/services/sales-service/src/main/java/com/fawnix/sales/quotes/service/QuoteService.java,416,39,9,Chaitanya2872
backend/services/sales-service/src/main/java/com/fawnix/sales/security/filter/JwtAuthenticationFilter.java,61,39,64,Chaitanya2872
backend/src/main/java/com/fawnix/verse/security/filter/JwtAuthenticationFilter.java,61,39,64,Chaitanya2872
src/modules/crm/leads/api.ts,421,39,9,Chaitanya2872
src/modules/task-management/api.ts,514,39,8,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/security/filter/JwtAuthenticationFilter.java,60,38,63,Chaitanya2872
backend/services/task-service/src/main/java/com/hirepath/task/security/filter/JwtAuthenticationFilter.java,60,38,63,Chaitanya2872
backend/services/approval-service/src/main/java/com/hirepath/approval/domain/ApprovalRequestStage.java,175,37,21,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/specification/LeadSpecifications.java,126,37,29,Chaitanya2872
backend/services/org-service/src/main/java/com/hirepath/org/domain/CompanyProfile.java,87,37,43,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/leads/specification/LeadSpecifications.java,78,37,47,Chaitanya2872
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/config/SecurityConfig.java,53,36,68,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/security/config/SecurityConfig.java,53,36,68,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/security/jwt/JwtService.java,138,36,26,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/dto/FormFieldDto.java,73,36,49,Ravi-Shankar-ACS
backend/services/notifications-service/src/main/java/com/hirepath/notifications/domain/Notification.java,174,36,21,Ravi-Shankar-ACS
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/config/SecurityConfig.java,53,36,68,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/security/config/SecurityConfig.java,53,36,68,Ravi-Shankar-ACS
src/modules/crm/accounts/page.tsx,320,36,11,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/domain/ApplicationFormTemplate.java,91,35,38,Ravi-Shankar-ACS
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/contacts/entity/ContactEntity.java,117,34,29,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/identity-service/src/main/java/com/fawnix/identity/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
backend/services/integration-service/src/main/java/com/hirepath/integration/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/dto/SetupEmployeeRequest.java,53,34,64,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/Vendor.java,254,34,13,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/jwt/JwtProperties.java,44,34,77,Ravi-Shankar-ACS
backend/services/sales-service/src/main/java/com/fawnix/sales/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
backend/services/task-service/src/main/java/com/hirepath/task/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
backend/src/main/java/com/fawnix/verse/security/jwt/JwtProperties.java,44,34,77,Chaitanya2872
src/modules/purchases/p2p/dashboard/page.tsx,429,33,8,Chaitanya2872
src/modules/purchases/p2p/reports/page.tsx,174,33,19,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/domain/NotificationOutbox.java,132,32,24,Ravi-Shankar-ACS
backend/services/notifications-service/src/main/java/com/hirepath/notifications/domain/NotificationSubscription.java,93,32,34,Ravi-Shankar-ACS
